FindingID,FindingKey,Category,Severity,Confidence,ESCType,Principal,Object,Target,Occurrences,SampleRequestIDs,EvidenceSource,PriorityReason,RecommendedOwner,Evidence,WhyThisMatters,RecommendedValidation,RecommendedRemediation
F01-ESC5,CF-B5C02E6D7F83,Template / PKI posture issue,Critical,High,ESC5,PRINCIPAL_1a8fce5017e7babdcbd920c3,CertificationAuthoritiesContainer;NTAuthCertificates,,2,,current scrubbed dataset,Evidence-backed current-run risk,AD/PKI administrator,"2 dangerous PKI-object ACE(s) for PRINCIPAL_1a8fce5017e7babdcbd920c3: object types CertificationAuthoritiesContainer, NTAuthCertificates; rights include GenericAll, WriteDacl. Enroll-only rights were not counted as ESC5 control.","Write/control rights over PKI AD objects can let that principal alter certificate trust, publish or modify templates, or change enrollment-service objects. That is a PKI privilege-escalation path if the principal is not an intended PKI administrator.",Confirm whether the principal is an approved PKI/tier-0 administrator and whether each listed ACE is intentional.,"Remove GenericAll/GenericWrite/WriteDacl/WriteOwner/WriteProperty from non-PKI-admin principals on the listed PKI objects; retain only explicit, documented PKI admin groups."
F02-ESC1,CF-19704EFA0409,Likely ESC1 misuse,High,High,ESC1,,TPL_8a51cba45cc56d7160b059b2,SAN target differs from requester,10,REQ_0d584f2d4d82d5128f1ca45e;REQ_1effb448ce65d4e5f58979ca;REQ_331fb5da49982c6ba08b5931;REQ_52e68526ae1dec2d7d609721;REQ_68eb7786be2ceba9dccb9074;REQ_6b2f953a3acafea5773bae38;REQ_8a4c524373af052d1e2fb8a2;REQ_8fb39e7cad8f9ad2d46d9eb2,current scrubbed dataset,Evidence-backed current-run risk,AD/PKI administrator,"10 certificate issuance row(s) on template 'TPL_8a51cba45cc56d7160b059b2' have identity mismatch status DifferentMappedIdentity; 10 joined to template inventory, 10 are authentication-capable, and 0 involve HV/high-value tokens; first=2023-07-01, last=2025-04-18, revoked=0/10. Sample RequestIDs: REQ_0d584f2d4d82d5128f1ca45e;REQ_1effb448ce65d4e5f58979ca;REQ_331fb5da49982c6ba08b5931;REQ_52e68526ae1dec2d7d609721;REQ_68eb7786be2ceba9dccb9074;REQ_6b2f953a3acafea5773bae38;REQ_8a4c524373af052d1e2fb8a2;REQ_8fb39e7cad8f9ad2d46d9eb2.",Requester/SAN identity mismatch on an authentication-capable certificate is the core signal for certificate-based impersonation. Issuance alone does not prove the certificate was used.,Correlate the certificate serials/thumbprints or RequestIDs with DC/Kerberos certificate-authentication logs before claiming confirmed misuse.,"If unexplained, revoke the certificates and tighten the issuing template's subject/SAN, approval, signature, and enrollment settings."
F03-ESC11,CF-58E7ACFAC9EA,Template / PKI posture issue,High,High,ESC11,,CA_2e1fd3acef6dc7f48d1e9451,,,,current scrubbed dataset,Evidence-backed current-run risk,AD/PKI administrator,"CA security export indicates encrypted ICertRequest enforcement is not required for CA_2e1fd3acef6dc7f48d1e9451 (ESC11Candidate=True, IF_EnforceEncryptICertRequest=False).","If request traffic is not protected, NTLM relay paths to the CA RPC interface may be possible depending on environment controls.",Confirm InterfaceFlags on the CA and whether ICertRequest encryption is enforced.,Enable encrypted ICertRequest enforcement and restart the CA service after validation.
F04-ESC3,CF-12418F64BFA8,Suspicious issuance needing validation,High,High,ESC3,,Enrollment Agent / on-behalf-of issuance,,12,REQ_0be52eb5fda36df9578c2c00;REQ_26c36bf9ac14a15ce3219d81;REQ_67aad2890e3d44321d9e149e;REQ_921e4e128d5ff9c725793440;REQ_cbcb2156561bc773fd7bbd54;REQ_d176a1144db4b12c1bdfa86c,current scrubbed dataset,Evidence-backed current-run risk,AD/PKI administrator,"6 certificate row(s) carry the Certificate Request Agent EKU and 6 on-behalf-of row(s) show caller/requester differences; high-value OBO rows: 0; first=2025-04-17, last=2026-04-17, revoked=0/6.","Enrollment Agent capability can be legitimate, but it can also enable requesting certificates on behalf of other principals if not tightly restricted.",Confirm all enrollment agents are authorized and that CA Enrollment Agent restrictions limit which templates and principals they can request for.,"Restrict enrollment-agent template enrollment, configure CA Enrollment Agent restrictions, and require authorized signatures on sensitive templates."
F05-ESC4,CF-BD770BD2887C,Template / PKI posture issue,High,High,ESC4,PRINCIPAL_db66978dcec117f0da16f56f,TPL_4d61efba5e97e9618882ebee,,1,,current scrubbed dataset,Evidence-backed current-run risk,AD/PKI administrator,PRINCIPAL_db66978dcec117f0da16f56f has dangerous template-control rights on 1 template(s); 1 are published. Sample templates: TPL_4d61efba5e97e9618882ebee.,A principal that can modify a certificate template can potentially reshape it into an ESC1-capable template and then request authentication-capable certificates.,"Confirm whether the principal is an intended template/PKI administrator. Recurring control across many templates may be normal PKI administration, but should be explicitly validated.",Remove Write/Full Control/WriteDacl/WriteOwner from non-PKI-admin principals on certificate templates; use a dedicated PKI admin group.
F06-ESC8,CF-E05FFED01283,Template / PKI posture issue,High,High,ESC8,,COMPUTER_9482814825d3dc360e819cd2,,,,current scrubbed dataset,Evidence-backed current-run risk,AD/PKI administrator,"Web enrollment endpoint COMPUTER_9482814825d3dc360e819cd2: Scheme=http, IsHttp=True, NTLM offered=True, EPA=None, ESC8Confirmed=False, NeedsEpaCheck=False.",AD CS web enrollment can be exposed to NTLM relay risk if HTTP/NTLM is available and EPA/channel binding is absent or unverified.,"Confirm endpoint reachability, authentication schemes, and IIS Extended Protection settings from the web host.","Require HTTPS, disable NTLM where possible, require Extended Protection for Authentication, or disable web enrollment if unused."
F07-ESC9-10,CF-1243430708B9,Suspicious issuance needing validation,High,Medium,ESC9/10,,SID security extension / DC enforcement,,14,,current scrubbed dataset,Evidence-backed current-run risk,AD/PKI administrator,"SID-extension signals: missing=7, real mismatches=7. 6/10 readable DC row(s) show Full enforcement; unreadable=1.",Weak certificate mapping is exploitable only when domain controllers accept weak mappings for certificates missing or mismatching the SID security extension.,Confirm StrongCertificateBindingEnforcement live on every DC and correlate any suspicious certificates to authentication logs.,Set StrongCertificateBindingEnforcement=2 on all DCs and reissue certificates with the SID security extension where applicable.
F08-ESC1,CF-30D22AEB3998,Template / PKI posture issue,Medium,High,ESC1,,TPL_8a51cba45cc56d7160b059b2,,1,,current scrubbed dataset,Evidence-backed current-run risk,AD/PKI administrator,"1 published template(s) are ESC1-shaped: requester-supplied Subject/SAN, authentication-capable EKU or Any Purpose/no EKU, no manager approval, no authorized signatures, and enrollment rights present. Broad enrollment templates: 0.",An ESC1-shaped template can allow the enrollee to request a certificate that names another account and can be used for authentication.,"Confirm these templates genuinely require requester-supplied identity fields, and review every principal with Enroll/AutoEnroll rights.","Where possible, build subject/SAN from AD. Otherwise require manager approval or authorized signatures and restrict Enroll to tightly controlled groups."
F09-ESC8,CF-2431066E6053,Template / PKI posture issue,Medium,Medium,ESC8,,COMPUTER_7034fce70867a0dac7048921,,,,current scrubbed dataset,Evidence-backed current-run risk,AD/PKI administrator,"Web enrollment endpoint COMPUTER_7034fce70867a0dac7048921: Scheme=https, IsHttp=False, NTLM offered=unknown, EPA=Unknown, ESC8Confirmed=False, NeedsEpaCheck=True.",AD CS web enrollment can be exposed to NTLM relay risk if HTTP/NTLM is available and EPA/channel binding is absent or unverified.,"Confirm endpoint reachability, authentication schemes, and IIS Extended Protection settings from the web host.","Require HTTPS, disable NTLM where possible, require Extended Protection for Authentication, or disable web enrollment if unused."
F10-ESC8,CF-4275085A3601,Template / PKI posture issue,Medium,Medium,ESC8,,COMPUTER_507b264ef7a8e6eb273ef341,,,,current scrubbed dataset,Evidence-backed current-run risk,AD/PKI administrator,"Web enrollment endpoint COMPUTER_507b264ef7a8e6eb273ef341: Scheme=https, IsHttp=False, NTLM offered=True, EPA=Unknown, ESC8Confirmed=False, NeedsEpaCheck=True.",AD CS web enrollment can be exposed to NTLM relay risk if HTTP/NTLM is available and EPA/channel binding is absent or unverified.,"Confirm endpoint reachability, authentication schemes, and IIS Extended Protection settings from the web host.","Require HTTPS, disable NTLM where possible, require Extended Protection for Authentication, or disable web enrollment if unused."
