FindingID,FindingKey,Category,Severity,Confidence,ESCType,Principal,Object,Target,Occurrences,SampleRequestIDs,EvidenceSource,PriorityReason,RecommendedOwner,Evidence,WhyThisMatters,RecommendedValidation,RecommendedRemediation
F01-ESC1,CF-6880CB963656,Likely ESC1 misuse,Critical,High,ESC1,,TPL_24152c08622d161118179073,High-value SAN target,6,REQ_3e94596bfd4d8bfe1427236b;REQ_5229509cf6e8e5c183c4367f;REQ_6805b4e213cb4f3331fab340;REQ_a2bac1578097a5f4681d0727;REQ_d37abbc6f8e3ef9d1852f9e1;REQ_ec7fc769ed23736f684d2fe5,current scrubbed dataset,Evidence-backed current-run risk,AD/PKI administrator,"6 certificate issuance row(s) on template 'TPL_24152c08622d161118179073' have identity mismatch status DifferentMappedIdentity; 6 joined to template inventory, 6 are authentication-capable, and 6 involve HV/high-value tokens; first=2023-07-01, last=2024-06-30, revoked=0/6. Request IDs: REQ_3e94596bfd4d8bfe1427236b;REQ_5229509cf6e8e5c183c4367f;REQ_6805b4e213cb4f3331fab340;REQ_a2bac1578097a5f4681d0727;REQ_d37abbc6f8e3ef9d1852f9e1;REQ_ec7fc769ed23736f684d2fe5.",Requester/SAN identity mismatch on an authentication-capable certificate is the core signal for certificate-based impersonation. Issuance alone does not prove the certificate was used.,Correlate the certificate serials/thumbprints or RequestIDs with DC/Kerberos certificate-authentication logs before claiming confirmed misuse.,"If unexplained, revoke the certificates and tighten the issuing template's subject/SAN, approval, signature, and enrollment settings."
F02-ESC3,CF-104DCC4BC8AF,Suspicious issuance needing validation,Critical,High,ESC3,,Enrollment Agent / on-behalf-of issuance,,26,REQ_0c1d90d47fdc715b563e05de;REQ_0e67f3cb7f21edb00151d15c;REQ_379275e6ec50bc2a353f70d5;REQ_76ddbc3a333c7069249b56ff;REQ_797521c922ba260d9c6aebe6;REQ_7b3b4fc274a5cab6026c5929;REQ_8cf793568393d61e6a521d9d;REQ_95868b975d62684058586c6c,current scrubbed dataset,Evidence-backed current-run risk,AD/PKI administrator,"12 certificate row(s) carry the Certificate Request Agent EKU and 14 on-behalf-of row(s) show caller/requester differences; high-value OBO rows: 5; first=2023-09-09, last=2026-06-28, revoked=0/14.","Enrollment Agent capability can be legitimate, but it can also enable requesting certificates on behalf of other principals if not tightly restricted.",Confirm all enrollment agents are authorized and that CA Enrollment Agent restrictions limit which templates and principals they can request for.,"Restrict enrollment-agent template enrollment, configure CA Enrollment Agent restrictions, and require authorized signatures on sensitive templates."
F03-ESC5,CF-7E2F71991426,Template / PKI posture issue,Critical,High,ESC5,PRINCIPAL_46ee1a5d4c288f103379be2e,CertificationAuthoritiesContainer;EnrollmentServiceCA;EnrollmentServicesContainer;NTAuthCertificates,,4,,current scrubbed dataset,Evidence-backed current-run risk,AD/PKI administrator,"4 dangerous PKI-object ACE(s) for PRINCIPAL_46ee1a5d4c288f103379be2e: object types CertificationAuthoritiesContainer, EnrollmentServiceCA, EnrollmentServicesContainer, NTAuthCertificates; dangerous rights include GenericAll, GenericWrite, WriteDacl, WriteOwner. Enroll-only rights were not counted as ESC5 control.","Write/control rights over PKI AD objects can let that principal alter certificate trust, publish or modify templates, or change enrollment-service objects. That is a PKI privilege-escalation path if the principal is not an intended PKI administrator.",Confirm whether the principal is an approved PKI/tier-0 administrator and whether each listed ACE is intentional.,"Remove GenericAll/GenericWrite/WriteDacl/WriteOwner/WriteProperty from non-PKI-admin principals on the listed PKI objects; retain only explicit, documented PKI admin groups."
F04-ESC6,CF-1B0338DC411E,Template / PKI posture issue,Critical,High,ESC6,,CA_b98bb6a076c0a2a3695aeb65,,,,current scrubbed dataset,Evidence-backed current-run risk,AD/PKI administrator,CA configuration indicates EDITF_ATTRIBUTESUBJECTALTNAME2 / ESC6_CAConfigFlag is enabled.,"When the CA honors SAN values supplied in request attributes, templates that do not normally allow requester-supplied SAN can still be abused to request certificates for other identities.",Confirm the CA EditFlags value from the CA host and verify whether any SAN request attributes were accepted.,Clear EDITF_ATTRIBUTESUBJECTALTNAME2 and restart the CA service after change-control validation.
F05-ESC6,CF-40F0853A743C,Suspicious issuance needing validation,Critical,High,ESC6,,Issued certificates with SAN request attributes,,10,REQ_1f1a1a58b8f75433d9ca5fe9;REQ_34bd8b68a53f21ac62d25b0d;REQ_556fc60639e9f197fd24f65b;REQ_689f40b3f258776425c056cd;REQ_9432c7ebc26dd907f9824278;REQ_a5299656756b727a0167a9e1;REQ_c41fbebef217c4a5ef665533;REQ_d9891de883b0509ca6494c90,current scrubbed dataset,Evidence-backed current-run risk,AD/PKI administrator,"10 issued certificate row(s) include SAN request attributes on joined templates that do not allow requester-supplied Subject/SAN; first=2024-04-14, last=2026-01-31, revoked=0/10. Request IDs: REQ_1f1a1a58b8f75433d9ca5fe9;REQ_34bd8b68a53f21ac62d25b0d;REQ_556fc60639e9f197fd24f65b;REQ_689f40b3f258776425c056cd;REQ_9432c7ebc26dd907f9824278;REQ_a5299656756b727a0167a9e1;REQ_c41fbebef217c4a5ef665533;REQ_d9891de883b0509ca6494c90.",This is an issuance-side indicator that the CA may have honored SAN values through request attributes rather than template settings.,Confirm the CA's EDITF_ATTRIBUTESUBJECTALTNAME2 flag and inspect the specific request rows.,Disable the CA-wide SAN attribute behavior if not explicitly required and reissue affected certificates as needed.
F06-ESC8,CF-0F12656DE73F,Template / PKI posture issue,Critical,High,ESC8,,COMPUTER_52de4cc85238a4adff90e787,,,,current scrubbed dataset,Evidence-backed current-run risk,AD/PKI administrator,"Web enrollment endpoint COMPUTER_52de4cc85238a4adff90e787: Scheme=http, IsHttp=True, NTLM offered=True, EPA=None, ESC8Confirmed=True, NeedsEpaCheck=False.",AD CS web enrollment can be exposed to NTLM relay risk if HTTP/NTLM is available and EPA/channel binding is absent or unverified.,"Confirm endpoint reachability, authentication schemes, and IIS Extended Protection settings from the web host.","Require HTTPS, disable NTLM where possible, require Extended Protection for Authentication, or disable web enrollment if unused."
F07-ESC1,CF-623764D5812B,Likely ESC1 misuse,High,High,ESC1,,TPL_24152c08622d161118179073,SAN target differs from requester,10,REQ_00b9ff103c3f26f7806f6e8e;REQ_076060468943c2acddd2a9da;REQ_161dad265f78734b5e602a76;REQ_408f5ef4179b4e2342857ddd;REQ_45909791af0b7cc1a2af670b;REQ_905f7834e39eb49e2222601a;REQ_a2ab867b7857a1e3855b2c0e;REQ_a901d80cdc86ac0e70e69fc1,current scrubbed dataset,Evidence-backed current-run risk,AD/PKI administrator,"10 certificate issuance row(s) on template 'TPL_24152c08622d161118179073' have identity mismatch status DifferentMappedIdentity; 10 joined to template inventory, 10 are authentication-capable, and 0 involve HV/high-value tokens; first=2024-09-11, last=2026-06-30, revoked=0/10. Request IDs: REQ_00b9ff103c3f26f7806f6e8e;REQ_076060468943c2acddd2a9da;REQ_161dad265f78734b5e602a76;REQ_408f5ef4179b4e2342857ddd;REQ_45909791af0b7cc1a2af670b;REQ_905f7834e39eb49e2222601a;REQ_a2ab867b7857a1e3855b2c0e;REQ_a901d80cdc86ac0e70e69fc1.",Requester/SAN identity mismatch on an authentication-capable certificate is the core signal for certificate-based impersonation. Issuance alone does not prove the certificate was used.,Correlate the certificate serials/thumbprints or RequestIDs with DC/Kerberos certificate-authentication logs before claiming confirmed misuse.,"If unexplained, revoke the certificates and tighten the issuing template's subject/SAN, approval, signature, and enrollment settings."
F08-ESC1,CF-98474C154BF4,Template / PKI posture issue,High,High,ESC1,,TPL_24152c08622d161118179073,,1,,current scrubbed dataset,Evidence-backed current-run risk,AD/PKI administrator,"1 published template(s) are ESC1-shaped: requester-supplied Subject/SAN, authentication-capable EKU or Any Purpose/no EKU, no manager approval, no authorized signatures, and enrollment rights present. Broad enrollment templates: 1.",An ESC1-shaped template can allow the enrollee to request a certificate that names another account and can be used for authentication.,"Confirm these templates genuinely require requester-supplied identity fields, and review every principal with Enroll/AutoEnroll rights.","Where possible, build subject/SAN from AD. Otherwise require manager approval or authorized signatures and restrict Enroll to tightly controlled groups."
F09-ESC11,CF-9CF3E6447E8D,Template / PKI posture issue,High,High,ESC11,,CA_b98bb6a076c0a2a3695aeb65,,,,current scrubbed dataset,Evidence-backed current-run risk,AD/PKI administrator,"CA security export indicates encrypted ICertRequest enforcement is not required for CA_b98bb6a076c0a2a3695aeb65 (ESC11Candidate=True, IF_EnforceEncryptICertRequest=False).","If request traffic is not protected, NTLM relay paths to the CA RPC interface may be possible depending on environment controls.",Confirm InterfaceFlags on the CA and whether ICertRequest encryption is enforced.,Enable encrypted ICertRequest enforcement and restart the CA service after validation.
F10-ESC2,CF-627D07623AE2,Suspicious issuance needing validation,High,Medium,ESC2,,Any Purpose / no-EKU issued certificates,,12,REQ_0400870dcc24161d65d16032;REQ_155ada49c9313f0a1724a2ab;REQ_27778d5448928c2fb4dca318;REQ_28b3e18dfdfeeeaa1670f7bb;REQ_29f5b25ad20fa398bbae9c62;REQ_618a82ed92fe3e8d580b9163;REQ_95868b975d62684058586c6c;REQ_9c11a814aaeb5dff33ea865b,current scrubbed dataset,Evidence-backed current-run risk,AD/PKI administrator,"12 issued certificate row(s) have Any Purpose or no EKU evidence; high-value involvement: 1; first=2023-09-10, last=2026-06-29, revoked=0/12. Request IDs: REQ_0400870dcc24161d65d16032;REQ_155ada49c9313f0a1724a2ab;REQ_27778d5448928c2fb4dca318;REQ_28b3e18dfdfeeeaa1670f7bb;REQ_29f5b25ad20fa398bbae9c62;REQ_618a82ed92fe3e8d580b9163;REQ_95868b975d62684058586c6c;REQ_9c11a814aaeb5dff33ea865b.",Any Purpose or no-EKU certificates may be usable for client authentication depending on chain and policy context.,Confirm intended EKUs and whether the certificate chain allows client authentication.,Remove Any Purpose/no-EKU issuance unless explicitly required; issue workload-specific EKUs only.
